base_Z_fused,u_center,v_center,Z_pred
-0.020000000000000018,374,354,-0.019347971934593984
-0.007885718868844838,374,354,-0.007448763728747483
-0.004894754742278757,374,354,-0.004517774608574672
-0.004236761032516372,374,355,-0.003880018776137223
-0.004071106212240441,374,355,-0.0037177860596218776
-0.0038476980246206134,374,355,-0.003499005849351651
-0.003954105885493018,374,355,-0.003603207601995888
-0.003751726503108473,374,354,-0.003398366599506611
-0.004188893817685151,374,354,-0.0038264545800531374
-0.004056922145372533,374,354,-0.0036972178457135227
-0.003931077014272491,374,354,-0.0035739854609166816
-0.003931979022649868,374,354,-0.003574868725585295
-0.003979502240523015,374,354,-0.0036214047506684596
-0.003993823109282605,374,355,-0.003642102240037366
-0.004501408627310907,374,355,-0.004139216061780124
-0.004151096821052157,374,355,-0.003796123209528629
-0.004438875331342803,374,355,-0.004077968748784383
-0.004060079633473085,374,355,-0.0037069875553972786
-0.004323416891805524,374,355,-0.00396488771818318
-0.004097459958933024,374,355,-0.003743594848648571
-0.004029369039885953,374,355,-0.003676912370712923
-0.004008850203850544,374,355,-0.0036568182286957768
-0.004686853080317055,374,355,-0.004320853681707634
-0.004392444712233033,374,355,-0.004032493711399833
-0.004225818238745564,374,355,-0.003869301789515174
-0.004437136096725667,374,355,-0.004076265297628674
-0.004582779934063683,374,354,-0.004212208431200216
-0.0043565337492777875,374,354,-0.003990627790077375
-0.0035571514820848704,374,354,-0.003207850682466172
-0.003445244281363879,374,354,-0.003098283054013551
-0.0033295573164696304,374,354,-0.0029850185437723872
-0.003649831746122664,374,354,-0.0032985961216742965
-0.00393316805716415,374,354,-0.0035760330523612396
-0.003979860549744841,374,354,-0.0036217556193082687
-0.004557380852791528,374,354,-0.004187332365900152
-0.0048666190758649515,374,354,-0.0044902157300016135
-0.004834098068219139,374,354,-0.004458361702082449
-0.004141424121395605,374,354,-0.003779968040014174
-0.004306051864449722,374,354,-0.003941188977878068
-0.004313180153100763,374,354,-0.003948169934059352
-0.004126054007910726,374,354,-0.003764916402778387
-0.003994821617935386,374,355,-0.003643080074504833
-0.00393175161559497,374,354,-0.003574646044020073
-0.0032807783900361885,374,354,-0.0029372622112027805
-0.00308461107337171,374,354,-0.002745214354936888
-0.0033169292242226926,374,354,-0.002972655117993564
-0.0031341943315092943,374,354,-0.002793755313721641
-0.003595211270619983,374,354,-0.003245115616759338
-0.004122199796085059,374,354,-0.003761142063005332
-0.004169392820991862,374,354,-0.0038073573928974827
-0.004559681792795526,374,354,-0.0041895859172825164
-0.004672162590581508,374,354,-0.004299752040100663
-0.004890822434183427,374,354,-0.004513922899670411
-0.005062482710507394,374,354,-0.004682068967592878
-0.00504570312997058,374,354,-0.00466563251250076
-0.004848755810533453,374,354,-0.004472718787214371
